shortname,type_constant,class_name,fullname,status,header_file,notes
sh7751,SH7751,sh7751_device,Hitachi SH7751,working,cpu/sh/sh4.h,
sh7751r,SH7751R,sh7751r_device,Hitachi SH7751R,working,cpu/sh/sh4.h,
sonyiop,SONYPS2_IOP,iop_device,Sony Playstation 2 IOP,working,cpu/mips/mips1.h,
sonyvu0,SONYPS2_VU0,sonyvu0_device,Sony PlayStation 2 VU0,needs_dependent_device,cpu/mips/ps2vu.h,Requires additional dependent devices
sonyvu1,SONYPS2_VU1,sonyvu1_device,Sony PlayStation 2 VU1,needs_dependent_device,cpu/mips/ps2vu.h,Requires additional dependent devices
sparcv7,SPARCV7,sparcv7_device,Sun SPARC v7,working,cpu/sparc/sparc.h,
sparcv8,SPARCV8,sparcv8_device,Sun SPARC v8,working,cpu/sparc/sparc.h,
spc700,SPC700,spc700_device,Sony SPC700,working,cpu/spc700/spc700.h,
st2202,ST2202,st2202_device,Sitronix ST2202 Integrated Microcontroller,working,cpu/m6502/st2204.h,
st2204,ST2204,st2204_device,Sitronix ST2204 Integrated Microcontroller,working,cpu/m6502/st2204.h,
st2205u,ST2205U,st2205u_device,Sitronix ST2205U Integrated Microcontroller,working,cpu/m6502/st2205u.h,
st2302u,ST2302U,st2302u_device,Sitronix ST2302U Integrated Microcontroller,working,cpu/m6502/st2205u.h,
t11,T11,t11_device,DEC T11,working,cpu/t11/t11.h,
tmp90840,TMP90840,tmp90840_device,Toshiba TMP90840,needs_internal_rom,cpu/tlcs90/tlcs90.h,Requires internal ROM/RAM regions not provided by ZBC
tmp90841,TMP90841,tmp90841_device,Toshiba TMP90841,working,cpu/tlcs90/tlcs90.h,
tmp90845,TMP90845,tmp90845_device,Toshiba TMP90845,working,cpu/tlcs90/tlcs90.h,
tmp90ph44,TMP90PH44,tmp90ph44_device,Toshiba TMP90PH44,needs_internal_rom,cpu/tlcs90/tlcs90.h,Requires internal ROM/RAM regions not provided by ZBC
tmp91640,TMP91640,tmp91640_device,Toshiba TMP91640,needs_internal_rom,cpu/tlcs90/tlcs90.h,Requires internal ROM/RAM regions not provided by ZBC
tmp91641,TMP91641,tmp91641_device,Toshiba TMP91641,working,cpu/tlcs90/tlcs90.h,
tmp95c061,TMP95C061,tmp95c061_device,Toshiba TMP95C061,working,cpu/tlcs900/tmp95c061.h,
tmp95c063,TMP95C063,tmp95c063_device,Toshiba TMP95C063,working,cpu/tlcs900/tmp95c063.h,
tms32010,TMS32010,tms32010_device,Texas Instruments TMS32010,working,cpu/tms32010/tms32010.h,
tms32015,TMS32015,tms32015_device,Texas Instruments TMS32015,working,cpu/tms32010/tms32010.h,
tms32016,TMS32016,tms32016_device,Texas Instruments TMS32016,working,cpu/tms32010/tms32010.h,
