shortname,type_constant,class_name,fullname,status,header_file,notes
i386sx,I386SX,i386sx_device,Intel I386SX,working,cpu/i386/i386.h,
i486,I486,i486_device,Intel I486,working,cpu/i386/i386.h,
i486dx4,I486DX4,i486dx4_device,Intel I486DX4,working,cpu/i386/i386.h,
i8008,I8008,i8008_device,Intel 8008,working,cpu/i8008/i8008.h,
i80186,I80186,i80186_cpu_device,Intel 80186,working,cpu/i86/i186.h,
i80188,I80188,i80188_cpu_device,Intel 80188,working,cpu/i86/i186.h,
i8021,I8021,i8021_device,Intel 8021,needs_internal_rom,cpu/mcs48/mcs48.h,Requires internal ROM/RAM regions not provided by ZBC
i8022,I8022,i8022_device,Intel 8022,needs_internal_rom,cpu/mcs48/mcs48.h,Requires internal ROM/RAM regions not provided by ZBC
i80286,I80286,i80286_cpu_device,Intel 80286,broken_validate,cpu/i86/i286.h,Test failed: Unknown error -9 (exit -9)
i8031,I8031,i8031_device,Intel 8031,working,cpu/mcs51/i8051.h,
i8032,I8032,i8032_device,Intel 8032,working,cpu/mcs51/i8052.h,
i8035,I8035,i8035_device,Intel 8035,working,cpu/mcs48/mcs48.h,
i8039,I8039,i8039_device,Intel 8039,working,cpu/mcs48/mcs48.h,
i8040,I8040,i8040_device,Intel 8040,working,cpu/mcs48/mcs48.h,
i8041a,I8041A,i8041a_device,Intel 8041A,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8041ah,I8041AH,i8041ah_device,Intel 8041AH,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8042,I8042,i8042_device,Intel 8042,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8042ah,I8042AH,i8042ah_device,Intel 8042AH,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8048,I8048,i8048_device,Intel 8048,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8049,I8049,i8049_device,Intel 8049,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8050,I8050,i8050_device,Intel 8050,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8051,I8051,i8051_device,Intel 8051,needs_internal_rom,cpu/mcs51/i8051.h,Requires internal ROM/RAM regions not provided by ZBC
i8052,I8052,i8052_device,Intel 8052,needs_internal_rom,cpu/mcs51/i8052.h,Requires internal ROM/RAM regions not provided by ZBC
i8080,I8080,i8080_cpu_device,Intel 8080,working,cpu/i8085/i8085.h,
i8080a,I8080A,i8080a_cpu_device,Intel 8080A,working,cpu/i8085/i8085.h,
i8085a,I8085A,i8085a_cpu_device,Intel 8085A,working,cpu/i8085/i8085.h,
i8086,I8086,i8086_cpu_device,Intel 8086,working,cpu/i86/i86.h,
i8088,I8088,i8088_cpu_device,Intel 8088,working,cpu/i86/i86.h,
i80960ka,I80960KA,i80960ka_device,Intel 80960KA,broken_validate,cpu/i960/i960.h,Test failed: Fatal error (exit 3)
i80960kb,I80960KB,i80960kb_device,Intel 80960KB,broken_validate,cpu/i960/i960.h,Test failed: Fatal error (exit 3)
i80c32,I80C32,i80c32_device,Intel 80C32,working,cpu/mcs51/i80c52.h,
i80c51gb,I80C51GB,i80c51gb_device,Intel 80C51GB,working,cpu/mcs51/i80c52.h,
i80c52,I80C52,i80c52_device,Intel 80C52,needs_internal_rom,cpu/mcs51/i80c52.h,Requires internal ROM/RAM regions not provided by ZBC
i8344,I8344,i8344_device,Intel 8344AH RUPI-44,working,cpu/mcs51/i8051.h,
i860xr,I860,i860_cpu_device,Intel i860XR,working,cpu/i860/i860.h,
i8648,I8648,i8648_device,Intel 8648,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8741a,I8741A,i8741a_device,Intel 8741A,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8741ah,I8741AH,i8741ah_device,Intel 8741AH,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8742,I8742,i8742_device,Intel 8742,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8742ah,I8742AH,i8742ah_device,Intel 8742AH,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8744,I8744,i8744_device,Intel 8744H RUPI-44,needs_internal_rom,cpu/mcs51/i8051.h,Requires internal ROM/RAM regions not provided by ZBC
i8748,I8748,i8748_device,Intel 8748,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8749,I8749,i8749_device,Intel 8749,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
i8751,I8751,i8751_device,Intel 8751,needs_internal_rom,cpu/mcs51/i8051.h,Requires internal ROM/RAM regions not provided by ZBC
i8752,I8752,i8752_device,Intel 8752,needs_internal_rom,cpu/mcs51/i8052.h,Requires internal ROM/RAM regions not provided by ZBC
i87c51fa,I87C51FA,i87c51fa_device,Intel 87C51FA,needs_internal_rom,cpu/mcs51/i80c52.h,Requires internal ROM/RAM regions not provided by ZBC
i87c52,I87C52,i87c52_device,Intel 87C52,needs_internal_rom,cpu/mcs51/i80c52.h,Requires internal ROM/RAM regions not provided by ZBC
igs036,IGS036,igs036_cpu_device,IGS036,working,cpu/arm7/arm7.h,
ins8050,SCMP,scmp_device,National Semiconductor ISP-8A/500D SC/MP,working,cpu/scmp/scmp.h,
ins8060,INS8060,ins8060_device,National Semiconductor INS 8060 SC/MP II,working,cpu/scmp/scmp.h,
k1801vm1,K1801VM1,k1801vm1_device,K1801VM1,working,cpu/t11/t11.h,
k1801vm2,K1801VM2,k1801vm2_device,K1801VM2,working,cpu/t11/t11.h,
konami_cpu,KONAMI,konami_cpu_device,KONAMI CPU,working,cpu/m6809/konami.h,
lsi11,LSI11,lsi11_device,DEC LSI-11,working,cpu/t11/t11.h,
m37450,M37450,m37450_device,Mitsubishi M37450,working,cpu/m6502/m3745x.h,
m37702m2,M37702M2,m37702m2_device,Mitsubishi M37702M2,needs_internal_rom,cpu/m37710/m37710.h,Requires internal ROM/RAM regions not provided by ZBC
m37702s1,M37702S1,m37702s1_device,Mitsubishi M37702S1,working,cpu/m37710/m37710.h,
m37710s4,M37710S4,m37710s4_device,Mitsubishi M37710S4,working,cpu/m37710/m37710.h,
m37720s1,M37720S1,m37720s1_device,Mitsubishi M37720S1,working,cpu/m37710/m37710.h,
m37730s2,M37730S2,m37730s2_device,Mitsubishi M37730S2,working,cpu/m37710/m37710.h,
m37732s4,M37732S4,m37732s4_device,Mitsubishi M37732S4,working,cpu/m37710/m37710.h,
m4510,M4510,m4510_device,CSG 4510,working,cpu/m6502/m4510.h,
m50740,M50740,m50740_device,Mitsubishi M50740,needs_internal_rom,cpu/m6502/m5074x.h,Requires internal ROM/RAM regions not provided by ZBC
m50741,M50741,m50741_device,Mitsubishi M50741,needs_internal_rom,cpu/m6502/m5074x.h,Requires internal ROM/RAM regions not provided by ZBC
m50753,M50753,m50753_device,Mitsubishi M50753,needs_internal_rom,cpu/m6502/m5074x.h,Requires internal ROM/RAM regions not provided by ZBC
m58715,M58715,m58715_device,Mitsubishi M58715,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
m6502,M6502,m6502_device,MOS Technology 6502,working,cpu/m6502/m6502.h,
m6503,M6503,m6503_device,MOS Technology 6503,working,cpu/m6502/m6503.h,
m6504,M6504,m6504_device,MOS Technology 6504,working,cpu/m6502/m6504.h,
m6508,M6508,m6508_device,MOS Technology 6508,working,cpu/m6502/m6510.h,
m6509,M6509,m6509_device,MOS Technology 6509,working,cpu/m6502/m6509.h,
m6510,M6510,m6510_device,MOS Technology 6510,working,cpu/m6502/m6510.h,
m6510t,M6510T,m6510t_device,MOS Technology 6510T,working,cpu/m6502/m6510t.h,
m6512,M6512,m6512_device,MOS Technology 6512,working,cpu/m6502/m6502.h,
m65ce02,M65CE02,m65ce02_device,CSG 65CE02,working,cpu/m6502/m65ce02.h,
m6800,M6800,m6800_cpu_device,Motorola MC6800,working,cpu/m6800/m6800.h,
m68000,M68000,m68000_device,Motorola MC68000,working,cpu/m68000/m68000.h,
m68008,M68008,m68008_device,Motorola MC68008,working,cpu/m68000/m68008.h,
m68008fn,M68008FN,m68008fn_device,Motorola MC68008FN,working,cpu/m68000/m68008.h,
m6801,M6801,m6801_cpu_device,Motorola MC6801,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
m68010,M68010,m68010_device,Motorola MC68010,working,cpu/m68000/m68010.h,
m6801u4,M6801U4,m6801u4_cpu_device,Motorola MC6801U4,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
m6802,M6802,m6802_cpu_device,Motorola MC6802,working,cpu/m6800/m6800.h,
m68020,M68020,m68020_device,Motorola MC68020,working,cpu/m68000/m68020.h,
m68020fpu,M68020FPU,m68020fpu_device,Motorola MC68020FPU,working,cpu/m68000/m68020.h,
m68020hmmu,M68020HMMU,m68020hmmu_device,Motorola MC68020HMMU,working,cpu/m68000/m68020.h,
m68020pmmu,M68020PMMU,m68020pmmu_device,Motorola MC68020PMMU,working,cpu/m68000/m68020.h,
m6803,M6803,m6803_cpu_device,Motorola MC6803,working,cpu/m6800/m6801.h,
m68030,M68030,m68030_device,Motorola MC68030,working,cpu/m68000/m68030.h,
m6803e,M6803E,m6803e_cpu_device,Motorola MC6803E,working,cpu/m6800/m6801.h,
m68040,M68040,m68040_device,Motorola MC68040,working,cpu/m68000/m68040.h,
m6808,M6808,m6808_cpu_device,Motorola MC6808,working,cpu/m6800/m6800.h,
m6809,M6809,m6809_device,MC6809 (legacy),working,cpu/m6809/m6809.h,
m68ec020,M68EC020,m68ec020_device,Motorola MC68EC020,working,cpu/m68000/m68020.h,
m68ec030,M68EC030,m68ec030_device,Motorola MC68EC030,working,cpu/m68000/m68030.h,
m68ec040,M68EC040,m68ec040_device,Motorola MC68EC040,working,cpu/m68000/m68040.h,
m68hc05eg,M68HC05EG,m68hc05eg_device,Motorola MC68HC05EG,working,cpu/m6805/m6805.h,
m68lc040,M68LC040,m68lc040_device,Motorola MC68LC040,working,cpu/m68000/m68040.h,
m7501,M7501,m7501_device,MOS Technology 7501,working,cpu/m6502/m7501.h,
m8502,M8502,m8502_device,MOS Technology 8502,working,cpu/m6502/m8502.h,
mb86233,MB86233,mb86233_device,Fujitsu MB86233 (TGP),working,cpu/mb86233/mb86233.h,
mb86234,MB86234,mb86234_device,Fujitsu MB86234 (TGP),working,cpu/mb86233/mb86233.h,
mb86235,MB86235,mb86235_device,Fujitsu MB86235 'TGPx4',broken_validate,cpu/mb86235/mb86235.h,Test failed: Fatal error (exit 3)
mb86930,MB86930,mb86930_device,Fujitsu MB86930 'SPARClite',working,cpu/sparc/sparc.h,
mb8884,MB8884,mb8884_device,Fujitsu MB8884,working,cpu/mcs48/mcs48.h,
mc6809,MC6809,mc6809_device,Motorola MC6809,working,cpu/m6809/m6809.h,
mc6809e,MC6809E,mc6809e_device,Motorola MC6809E,working,cpu/m6809/m6809.h,
mc68120,MC68120,mc68120_device,Motorola MC68120 IPC,needs_internal_rom,cpu/m6800/m6801.h,Requires internal ROM/RAM regions not provided by ZBC
mc68121,MC68121,mc68121_device,Motorola MC68121 IPC,working,cpu/m6800/m6801.h,
mc68hc11a1,MC68HC11A1,mc68hc11a1_device,Motorola MC68HC11A1,working,cpu/mc68hc11/mc68hc11.h,
mc68hc11d0,MC68HC11D0,mc68hc11d0_device,Motorola MC68HC11D0,working,cpu/mc68hc11/mc68hc11.h,
mc68hc11e1,MC68HC11E1,mc68hc11e1_device,Motorola MC68HC11E1,working,cpu/mc68hc11/mc68hc11.h,
mc68hc11f1,MC68HC11F1,mc68hc11f1_device,Motorola MC68HC11F1,working,cpu/mc68hc11/mc68hc11.h,
mc68hc11k1,MC68HC11K1,mc68hc11k1_device,Motorola MC68HC11K1,working,cpu/mc68hc11/mc68hc11.h,
mc68hc11m0,MC68HC11M0,mc68hc11m0_device,Motorola MC68HC11M0,working,cpu/mc68hc11/mc68hc11.h,
mc68hc811e2,MC68HC811E2,mc68hc811e2_device,Motorola MC68HC811E2,working,cpu/mc68hc11/mc68hc11.h,
mc88100,MC88100,mc88100_device,Motorola MC88100,working,cpu/m88000/m88000.h,
mcf5206e,MCF5206E,mcf5206e_device,Freescale MCF5206E,working,cpu/m68000/mcf5206e.h,
mediagx,MEDIAGX,mediagx_device,Cyrix MediaGX,working,cpu/i386/i386.h,
mn1880,MN1880,mn1880_device,Panasonic MN1880,working,cpu/mn1880/mn1880.h,
mn18801a,MN18801A,mn18801a_device,Panasonic MN18801A,working,cpu/mn1880/mn1880.h,
mpc8240,MPC8240,mpc8240_device,IBM PowerPC MPC8240,working,cpu/powerpc/ppc.h,
nios2,NIOS2,nios2_device,Altera Nios II Processor,working,cpu/nios2/nios2.h,
ns32008,NS32008,ns32008_device,National Semiconductor NS32008,working,cpu/ns32000/ns32000.h,
ns32016,NS32016,ns32016_device,National Semiconductor NS32016,working,cpu/ns32000/ns32000.h,
ns32032,NS32032,ns32032_device,National Semiconductor NS32032,working,cpu/ns32000/ns32000.h,
ns32332,NS32332,ns32332_device,National Semiconductor NS32332,working,cpu/ns32000/ns32000.h,
ns32532,NS32532,ns32532_device,National Semiconductor NS32532,working,cpu/ns32000/ns32000.h,
nsc800,NSC800,nsc800_device,National Semiconductor NSC800,working,cpu/z80/nsc800.h,
nsc8105,NSC8105,nsc8105_cpu_device,NSC8105,working,cpu/m6800/m6800.h,
pcx_dmac,PCXPORT_DMAC,pcxport_dmac_device,PC Transporter DMAC,not_cpu,,DMA controller
pdp1_cpu,PDP1,pdp1_device,DEC PDP-1 Central Processor,working,cpu/pdp1/pdp1.h,
pdp8_cpu,PDP8,pdp8_device,DEC PDP8,working,cpu/pdp8/pdp8.h,
pentium,PENTIUM,pentium_device,Intel Pentium,working,cpu/i386/i386.h,
pentium2,PENTIUM2,pentium2_device,Intel Pentium II,working,cpu/i386/i386.h,
pentium3,PENTIUM3,pentium3_device,Intel Pentium III,working,cpu/i386/i386.h,
pentium4,PENTIUM4,pentium4_device,Intel Pentium 4,working,cpu/i386/i386.h,
pentium_mmx,PENTIUM_MMX,pentium_mmx_device,Intel Pentium MMX,working,cpu/i386/i386.h,
pentium_pro,PENTIUM_PRO,pentium_pro_device,Intel Pentium Pro,working,cpu/i386/i386.h,
ppc403ga,PPC403GA,ppc403ga_device,IBM PowerPC 403GA,broken_drc,cpu/powerpc/ppc.h,DRC static handlers cause infinite loop
ppc403gcx,PPC403GCX,ppc403gcx_device,IBM PowerPC 403GCX,broken_drc,cpu/powerpc/ppc.h,DRC static handlers cause infinite loop
ppc405gp,PPC405GP,ppc405gp_device,IBM PowerPC 405GP,broken_drc,cpu/powerpc/ppc.h,DRC static handlers cause infinite loop
ppc601,PPC601,ppc601_device,IBM PowerPC 601,broken_drc,cpu/powerpc/ppc.h,DRC static handlers cause infinite loop
